benchmark,set_size,recurring_pct,run,pid_threshold,n_recurring_expected,n_after_filter,t_total_ms,t_link_ms,t_decrypt_ms,t_per_input_cft_ms,t_ngo_ms,t_judge_ms,t_police_ms
direct-decrypt,500,10,8,50,50,500,265.366708,0,265.366708,0.530733416,54.735167000000004,55.132208,155.49933299999998
direct-decrypt,500,10,9,50,50,500,265.53549999999996,0,265.53549999999996,0.531071,53.581334,55.232541000000005,156.72162500000002
direct-decrypt,500,10,10,50,50,500,264.85170800000003,0,264.85170800000003,0.529703416,53.823,55.182500000000005,155.84620800000002
direct-decrypt,1000,10,1,100,100,1000,531.225208,0,531.225208,0.531225208,108.10225,111.892083,311.230875
direct-decrypt,1000,10,2,100,100,1000,530.3986659999999,0,530.3986659999999,0.530398666,107.470125,111.016583,311.91195799999997
direct-decrypt,1000,10,3,100,100,1000,529.5132500000001,0,529.5132500000001,0.52951325,108.10466600000001,110.808542,310.60004200000003
direct-decrypt,1000,10,4,100,100,1000,530.564042,0,530.564042,0.530564042,108.236167,111.314292,311.013583
direct-decrypt,1000,10,5,100,100,1000,532.515666,0,532.515666,0.532515666,109.508625,111.598916,311.408125
direct-decrypt,1000,10,6,100,100,1000,530.914042,0,530.914042,0.530914042,109.019542,111.36037499999999,310.534125
direct-decrypt,1000,10,7,100,100,1000,530.487916,0,530.487916,0.530487916,107.9775,111.322125,311.188291
direct-decrypt,1000,10,8,100,100,1000,534.122,0,534.122,0.534122,110.223583,111.895125,312.003292
direct-decrypt,1000,10,9,100,100,1000,531.733041,0,531.733041,0.531733041,108.38025,112.2875,311.065291
direct-decrypt,1000,10,10,100,100,1000,529.652291,0,529.652291,0.529652291,107.0425,110.728458,311.881333
direct-decrypt,2000,10,1,200,200,2000,1059.180583,0,1059.180583,0.5295902915,215.33612499999998,219.574166,624.2702919999999
direct-decrypt,2000,10,2,200,200,2000,1064.154708,0,1064.154708,0.532077354,215.064125,221.161792,627.9287909999999
direct-decrypt,2000,10,3,200,200,2000,1057.823375,0,1057.823375,0.5289116875,214.86687500000002,219.51000000000002,623.4465
direct-decrypt,2000,10,4,200,200,2000,1059.707207,0,1059.707207,0.5298536035,215.461333,220.00820800000002,624.237666
direct-decrypt,2000,10,5,200,200,2000,1061.444792,0,1061.444792,0.530722396,215.328792,221.399667,624.716333
direct-decrypt,2000,10,6,200,200,2000,1057.6949579999998,0,1057.6949579999998,0.528847479,214.600459,219.76245799999998,623.332041
direct-decrypt,2000,10,7,200,200,2000,1057.607583,0,1057.607583,0.5288037915,215.495708,219.353583,622.758292
direct-decrypt,2000,10,8,200,200,2000,1058.833376,0,1058.833376,0.529416688,216.575459,219.627667,622.63025
direct-decrypt,2000,10,9,200,200,2000,1059.924167,0,1059.924167,0.5299620835,215.007958,220.257792,624.658417
direct-decrypt,2000,10,10,200,200,2000,1059.733291,0,1059.733291,0.5298666455,215.090833,220.964458,623.678
direct-decrypt,4000,10,1,400,400,4000,2120.1503740000003,0,2120.1503740000003,0.5300375935000001,433.72133299999996,442.642833,1243.786208
direct-decrypt,4000,10,2,400,400,4000,2116.309292,0,2116.309292,0.529077323,430.58908299999996,441.708667,1244.011542
